GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JunitExample Maven Webapp,com.ejemplo.problema2,problema2.Cliente,0,27,0,0,0,10,0,5,0,5
JunitExample Maven Webapp,com.ejemplo.problema2,problema2,67,63,7,29,10,20,8,13,2,1
